formula,target
K0.27592982 Ba0.00055081 Nb0.11162198 O0.22324396 F0.38865342,1
Cs0.04413985 V0.23772656 P0.02907065 O0.68906295,0
Ge0.27803526 Bi0.06635768 O0.65560705,1
Sr0.09402952 B0.27022266 Mo0.03409607 O0.60165174,0
Cs0.18445693 Tl0.0151395 Ge0.23353512 O0.56686845,1
Ti0.02127188 B0.2928281 Pb0.10205706 O0.58384297,1
Na0.25619858 Ca0.06658103 P0.13786859 O0.5393518,1
Ag0.25560526 Ge0.17586652 I0.17798511 O0.39054311,0
Li0.34910288 Nb0.03898416 Al0.13596045 O0.47595251,1
Sr0.09516203 Mg0.05466826 B0.28013577 O0.57003394,1
Bi0.0981048 B0.28599174 Pb0.01987932 O0.59602414,0
Bi0.12334748 B0.27665252 O0.6,0
Th0.04398447 Mg0.43402329 O0.52199224,0
Ca0.04831826 Al0.06745816 Si0.24490603 O0.63931755,0
Na0.03419246 Ge0.23442439 Pb0.12271907 O0.60866408,0
Cs0.0339729 Al0.02335759 Si0.29688222 O0.64578729,1
Na0.1913796 B0.28517224 O0.52344816,1
Ba0.0366115 Bi0.04818888 B0.32252192 O0.5926777,1
K0.03220204 Be0.06005492 B0.33263484 O0.5751082,0
Na0.16598583 Y0.00490075 Si0.24625646 O0.58285696,1
Zn0.17835592 Si0.04034307 B0.20890359 O0.57239743,1
Ba0.0241288 Mo0.09397504 P0.16452635 O0.7173698,1
Y0.05251389 Al0.14099455 B0.20649156 O0.6,1
Cd0.08823366 B0.32941307 O0.58235327,1
Ba0.02507741 Zn0.15840673 P0.18086621 O0.63564965,0
Be0.00306265 V0.26561576 P0.01834844 O0.71297315,0
Ba0.06074615 Zn0.05756511 Si0.25445916 O0.62722958,1
Ba0.03387278 Ti0.03951522 P0.23248822 O0.69412378,0
Zn0.20310181 Ga0.12881258 As0.07764712 O0.59043849,0
Li0.17058202 Zn0.12706769 Ge0.16333053 O0.53901976,0
Cd0.10179922 Ge0.26546718 O0.63273359,0
Ti0.1271259 P0.15515118 Pb0.03779659 O0.67992633,0
Ca0.15025345 Nb0.02586905 P0.17398612 O0.64989138,0
K0.25937722 Ti0.04165812 P0.13884566 O0.560119,1
Sn0.01052635 Bi0.02278153 B0.36458686 O0.60210527,0
Cs0.18449372 Ge0.24108647 O0.57441981,0
Ba0.0524452 Nb0.00988227 P0.24586333 O0.6918092,1
K0.05064373 Si0.2902438 Sn0.01776767 O0.6413448,1
Cd0.21959448 Bi0.11262102 Pb0.029832 O0.19876353 F0.43918897,1
K0.05265215 Be0.16563996 B0.23589674 O0.54581115,1
Ti0.05160319 V0.02051291 P0.22097007 O0.70691383,0
Ca0.19504689 Al0.03048203 B0.21348046 O0.56099062,0
Sr0.12790458 Ga0.27908964 Bi0.01858669 O0.57441908,0
K0.03961651 Ti0.13389429 B0.21555695 O0.61093226,0
Li0.01071444 Ti0.09941714 Ge0.22855897 O0.66130945,0
Ca0.12708775 Ti0.08953251 Si0.15907566 O0.62430408,0
