formula,target
La0.06299714 Cd0.19694559 B0.17944639 O0.56061088,0
Mg0.12 Zn0.08 Si0.2 O0.6,0
Zn0.14285714 B0.28571429 O0.57142857,1
Cd0.25043783 B0.19964974 O0.54991243,1
Ti0.11778563 Al0.11660777 Si0.11837456 O0.64723204,0
Al0.04707379 Cd0.19624682 B0.19592875 O0.56075064,1
Cd0.10805085 B0.31355932 O0.57838983,1
Ba0.11697927 La0.04985192 B0.20977295 O0.38943731 F0.23395854,1
Th0.11463478 B0.14764752 W0.07174422 O0.66597349,0
La0.11861199 B0.2679285 Pb0.0168244 O0.59663512,0
K0.13636364 B0.31818182 O0.54545455,1
